,AGCNr,DECdeg_OC,RAdeg_OC,X,Y,name_g,name_r
1019,748795,14.23556,10.23375,1247.15386,1343.481868,fpC-001035-g2-0031.fit,fpC-001035-r2-0031.fit
1020,748798,14.05139,12.25375,77.26961549,139.9465734,fpC-001035-g2-0045.fit,fpC-001035-r2-0045.fit
84,102098,14.60028,9.76667,655.0019806,1240.822048,fpC-001035-g3-0028.fit,fpC-001035-r3-0028.fit
1018,748794,14.61861,9.86792,841.1438419,766.9089423,fpC-001035-g3-0029.fit,fpC-001035-r3-0029.fit
101,110319,14.14861,21.31917,1379.656634,984.7638708,fpC-001035-g3-0103.fit,fpC-001035-r3-0103.fit
4,1211,13.80611,25.97958,1684.390923,1389.939486,fpC-001035-g3-0133.fit,fpC-001035-r3-0133.fit
1023,748816,14.50194,21.98667,1205.077754,1167.040741,fpC-001035-g4-0107.fit,fpC-001035-r4-0107.fit
1021,748805,15.2725,16.14958,1148.650022,1257.537663,fpC-001035-g5-0069.fit,fpC-001035-r5-0069.fit
1025,748819,14.66028,24.35458,510.2464033,1404.639225,fpC-001035-g5-0122.fit,fpC-001035-r5-0122.fit
1024,748817,15.24833,22.1375,440.9267477,614.2188222,fpC-001035-g6-0108.fit,fpC-001035-r6-0108.fit
5,1362,14.76389,28.46125,1046.597186,525.8404593,fpC-001035-g6-0149.fit,fpC-001035-r6-0149.fit
85,102101,14.45639,9.85292,1290.774398,858.3870006,fpC-001043-g2-0065.fit,fpC-001043-r2-0065.fit
103,110398,14.15555,22.94208,633.0189083,450.8078207,fpC-001043-g3-0150.fit,fpC-001043-r3-0150.fit
105,112892,14.87472,20.06709,1477.606117,597.441937,fpC-001043-g4-0131.fit,fpC-001043-r4-0131.fit
1022,748815,14.66055,21.76125,592.3447217,619.0693263,fpC-001043-g4-0142.fit,fpC-001043-r4-0142.fit
102,110379,14.6775,22.56417,1285.555487,842.6379669,fpC-001043-g4-0147.fit,fpC-001043-r4-0147.fit
104,112503,14.98278,24.50125,1637.950436,1248.459381,fpC-001043-g5-0159.fit,fpC-001043-r5-0159.fit
6,1693,14.10389,33.01375,1497.894304,364.1470539,fpC-001043-g5-0215.fit,fpC-001043-r5-0215.fit
106,113200,14.92472,29.08125,1160.549105,515.2165096,fpC-001043-g6-0189.fit,fpC-001043-r6-0189.fit
120,122341,14.46778,32.8725,814.0134592,89.55634795,fpC-001043-g6-0214.fit,fpC-001043-r6-0214.fit
63,9380,4.26028,218.66167,930.4334337,581.4357121,fpC-001478-g4-0071.fit,fpC-001478-r4-0071.fit
668,242618,4.53139,220.87166,573.3792101,1408.422247,fpC-001478-g5-0085.fit,fpC-001478-r5-0085.fit
752,252522,3.82972,232.77542,466.2461729,635.9136299,fpC-001478-g5-0165.fit,fpC-001478-r5-0165.fit
80,101812,14.03361,2.20333,982.8766131,74.44618197,fpC-001739-g1-0317.fit,fpC-001739-r1-0317.fit
81,101877,14.48778,0.56167,1531.496702,651.665788,fpC-001739-g2-0306.fit,fpC-001739-r2-0306.fit
1002,748737,14.17028,345.76248,1741.664328,1006.130512,fpC-001739-g3-0210.fit,fpC-001739-r3-0210.fit
1007,748765,14.42778,350.93124,698.7223633,313.3505048,fpC-001739-g3-0244.fit,fpC-001739-r3-0244.fit
999,748715,13.96611,339.90668,1120.357731,1153.428259,fpC-001739-g4-0172.fit,fpC-001739-r4-0172.fit
1008,748766,14.94722,350.94916,1586.487181,767.727911,fpC-001739-g4-0244.fit,fpC-001739-r4-0244.fit
869,332761,15.03278,352.79541,1409.637909,666.8243703,fpC-001739-g4-0256.fit,fpC-001739-r4-0256.fit
0,17,15.21805,0.93,478.4836599,1294.309511,fpC-001739-g4-0308.fit,fpC-001739-r4-0308.fit
1001,748724,14.80111,343.78082,1385.546017,479.523439,fpC-001739-g5-0198.fit,fpC-001739-r5-0198.fit
855,321166,14.75417,343.95541,817.6500755,606.8404815,fpC-001739-g5-0199.fit,fpC-001739-r5-0199.fit
1014,748779,15.755,1.96583,1399.555487,919.3532115,fpC-001739-g5-0315.fit,fpC-001739-r5-0315.fit
1000,748723,15.20555,343.01874,1866.706465,973.6945885,fpC-001739-g6-0193.fit,fpC-001739-r6-0193.fit
874,332887,16.09056,359.68335,1008.894813,79.3181097,fpC-001739-g6-0301.fit,fpC-001739-r6-0301.fit
88,102302,14.52528,3.20125,1524.608282,885.8447536,fpC-001904-g2-0171.fit,fpC-001904-r2-0171.fit
1017,748790,14.36833,6.2775,65.31467149,748.3561442,fpC-001904-g2-0191.fit,fpC-001904-r2-0191.fit
347,208397,3.87417,159.74208,1793.524369,866.5197762,fpC-002125-g2-0273.fit,fpC-002125-r2-0273.fit
369,214172,4.04639,165.47542,1632.832561,1169.916778,fpC-002125-g2-0311.fit,fpC-002125-r2-0311.fit
370,214194,4.44472,166.67252,1131.651867,1234.095631,fpC-002125-g3-0319.fit,fpC-002125-r3-0319.fit
264,198434,3.98194,146.88667,468.6792655,128.7874618,fpC-002125-g4-0188.fit,fpC-002125-r4-0188.fit
312,204082,4.49972,154.05833,1960.394436,1331.352304,fpC-002125-g4-0235.fit,fpC-002125-r4-0235.fit
314,204112,4.45444,156.66959,529.553327,459.2422032,fpC-002125-g4-0253.fit,fpC-002125-r4-0253.fit
404,219093,5.35194,166.17416,1870.849346,1034.499223,fpC-002125-g5-0316.fit,fpC-002125-r5-0316.fit
311,203952,5.46722,159.44209,1106.135985,1416.903402,fpC-002125-g6-0271.fit,fpC-002125-r6-0271.fit
375,214562,3.88944,171.82834,684.2789916,987.1465946,fpC-002126-g1-0351.fit,fpC-002126-r1-0351.fit
372,214281,4.36,169.41043,1619.204336,937.885898,fpC-002126-g2-0335.fit,fpC-002126-r2-0335.fit
472,223392,4.40222,184.57458,337.8904781,917.5043725,fpC-002126-g2-0436.fit,fpC-002126-r2-0436.fit
406,219195,4.61417,168.07375,410.9070263,1133.057041,fpC-002126-g3-0326.fit,fpC-002126-r3-0326.fit
373,214282,4.69194,169.55667,791.3453227,972.2895566,fpC-002126-g3-0336.fit,fpC-002126-r3-0336.fit
263,198430,4.09861,144.34792,875.855314,1115.652155,fpC-002126-g4-0168.fit,fpC-002126-r4-0168.fit
